Date,Produk,Kategori_MAE,Actual_Sales,Predicted_Sales,Error,Absolute_Error
2025-12-07,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-08,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-09,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-10,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-11,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-12,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-13,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-14,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-15,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-16,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-17,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-18,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-19,GB-TP-CC,tinggi,1.0,0.07,0.93,0.93
2025-12-20,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-21,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-22,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-23,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-24,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-25,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-26,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-27,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-28,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-29,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-30,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-12-31,GB-TP-CC,tinggi,0.0,0.07,-0.07,0.07
2025-11-25,GB-CNF-30,tinggi,0.0,0.2,-0.2,0.2
2025-11-26,GB-CNF-30,tinggi,0.0,0.95,-0.95,0.95
2025-11-27,GB-CNF-30,tinggi,0.0,0.26,-0.26,0.26
2025-11-28,GB-CNF-30,tinggi,0.0,0.92,-0.92,0.92
2025-11-29,GB-CNF-30,tinggi,0.0,0.29,-0.29,0.29
2025-11-30,GB-CNF-30,tinggi,0.0,0.88,-0.88,0.88
2025-12-01,GB-CNF-30,tinggi,0.0,0.33,-0.33,0.33
2025-12-02,GB-CNF-30,tinggi,0.0,0.85,-0.85,0.85
2025-12-03,GB-CNF-30,tinggi,0.0,0.36,-0.36,0.36
2025-12-04,GB-CNF-30,tinggi,0.0,0.82,-0.82,0.82
2025-12-05,GB-CNF-30,tinggi,0.0,0.38,-0.38,0.38
2025-12-06,GB-CNF-30,tinggi,0.0,0.8,-0.8,0.8
2025-12-07,GB-CNF-30,tinggi,0.0,0.41,-0.41,0.41
2025-12-08,GB-CNF-30,tinggi,0.0,0.78,-0.78,0.78
2025-12-09,GB-CNF-30,tinggi,0.0,0.43,-0.43,0.43
2025-12-10,GB-CNF-30,tinggi,0.0,0.76,-0.76,0.76
